"Genre","Titel","Spielfilmlänge","Bewertung","Wählerstimmen","Einnahmen","Metascore"
"1","Action","Guardians of the Galaxy",121,8.1,757074,333.13,76
"2","Adventure","Prometheus",124,7,485820,126.46,65
"3","Horror","Split",117,7.3,157606,138.12,62
"4","Animation","Sing",108,7.2,60545,270.32,59
"5","Action","Suicide Squad",123,6.2,393727,325.02,40
"6","Action","The Great Wall",103,6.1,56036,45.13,42
"7","Comedy","La La Land",128,8.3,258682,151.06,93
"8","Comedy","Mindhorn",89,6.4,2490,NA,71
"9","Action","The Lost City of Z",141,7.1,7188,8.01,78
"10","Adventure","Passengers",116,7,192177,100.01,41
"11","Adventure","Fantastic Beasts and Where to Find Them",133,7.5,232072,234.02,66
"12","Biography","Hidden Figures",127,7.8,93103,169.27,74
"13","Action","Rogue One",133,7.9,323118,532.17,65
"14","Animation","Moana",107,7.7,118151,248.75,81
"15","Action","Colossal",109,6.4,8612,2.87,70
"16","Animation","The Secret Life of Pets",87,6.6,120259,368.31,61
"17","Biography","Hacksaw Ridge",139,8.2,211760,67.12,71
"18","Action","Jason Bourne",123,6.7,150823,162.16,58
"19","Biography","Lion",118,8.1,102061,51.69,69
"20","Drama","Arrival",116,8,340798,100.5,81
"21","Adventure","Gold",120,6.7,19053,7.22,49
"22","Drama","Manchester by the Sea",137,7.9,134213,47.7,96
"23","Crime","Hounds of Love",108,6.7,1115,NA,72
"24","Animation","Trolls",92,6.5,38552,153.69,56
"25","Action","Independence Day: Resurgence",120,5.3,127553,103.14,32
"26","Comedy","Paris pieds nus",83,6.8,222,NA,NA
"27","Action","Bahubali: The Beginning",159,8.3,76193,6.5,NA
"28","Horror","Dead Awake",99,4.7,523,0.01,NA
"29","Comedy","Bad Moms",100,6.2,66540,113.08,60
"30","Action","Assassin's Creed",115,5.9,112813,54.65,36
"31","Comedy","Why Him?",111,6.3,48123,60.31,39
"32","Drama","Nocturnal Animals",116,7.5,126030,10.64,67
"33","Action","X-Men: Apocalypse",144,7.1,275510,155.33,52
"34","Action","Deadpool",108,8,627797,363.02,65
"35","Action","Resident Evil: The Final Chapter",107,5.6,46165,26.84,49
"36","Action","Captain America: Civil War",147,7.9,411656,408.08,75
"37","Adventure","Interstellar",169,8.6,1047747,187.99,74
"38","Action","Doctor Strange",115,7.6,293732,232.6,72
"39","Action","The Magnificent Seven",132,6.9,122853,93.38,54
"40","Comedy","5- 25- 77",113,7.1,241,NA,NA
"41","Animation","Sausage Party",89,6.3,120690,97.66,66
"42","Drama","Moonlight",111,7.5,135095,27.85,99
"43","Horror","Don't Fuck in the Woods",73,2.7,496,NA,NA
"44","Biography","The Founder",115,7.2,37033,12.79,66
"45","Drama","Lowriders",99,6.3,279,4.21,57
"46","Action","Pirates of the Caribbean: On Stranger Tides",136,6.7,395025,241.06,45
"47","Drama","Miss Sloane",132,7.3,17818,3.44,64
"48","Adventure","Fallen",91,5.6,5103,NA,NA
"49","Action","Star Trek Beyond",122,7.1,164567,158.8,68
"50","Drama","The Last Face",130,3.7,987,NA,16
"51","Action","Star Wars: Episode VII - The Force Awakens",136,8.1,661608,936.63,81
"52","Action","Underworld: Blood Wars",91,5.8,41362,30.35,23
